Element,Z,a1,a2,a3,a4,b1,b2,b3,b4,sigma
Os,76,1.3877,3.2082,4.3731,2.9958,0.3502,2.8796,14.1535,57.3692,0.011
Ir,77,1.3783,3.1637,4.3549,2.805,0.344,2.7975,13.364,54.3356,0.0101
Pt,78,1.3489,3.0674,4.2095,2.1738,0.3322,2.6601,12.0128,50.3882,0.0091
Au,79,1.3413,3.0559,4.1659,2.0022,0.3262,2.6076,11.5043,48.4954,0.0084
Hg,80,1.3592,3.1327,4.1897,2.2748,0.3265,2.6458,11.6919,47.9347,0.0084
Tl,81,1.4735,3.6368,4.395,2.5803,0.35,3.0849,14.9338,65.0072,0.0121
Pb,82,1.47,3.6387,4.5674,2.9103,0.3452,3.034,14.8562,60.2174,0.0117
Bi,83,1.4616,3.6426,4.7876,3.1935,0.3396,2.9739,14.8388,56.7362,0.0113
Po,84,1.4255,3.5214,4.9058,3.4925,0.3274,2.8031,13.8305,50.1382,0.01
At,85,1.417,3.4829,5.0951,3.4639,0.3224,2.7289,13.4904,46.2094,0.0089
Rn,86,1.4001,3.4082,5.2516,3.425,0.3153,2.6261,12.9003,42.3929,0.0083
Fr,87,1.7697,4.682,6.6701,5.5268,0.3969,3.995,23.0274,154.8886,0.0316
Ra,88,1.7704,4.6854,6.8034,7.2352,0.3938,3.9313,22.4168,120.9717,0.03
Ac,89,1.7346,4.5959,7.0436,7.0521,0.3816,3.7454,21.133,102.1159,0.0267
Th,90,1.7012,4.5007,7.2504,6.6077,0.3704,3.5712,19.8632,89.3562,0.0238
Pa,91,1.7266,4.6123,6.7855,6.3876,0.3729,3.6159,19.6433,95.272,0.0248
U,92,1.7417,4.7063,6.6509,5.9929,0.3729,3.6337,19.6579,95.0805,0.0246
Np,93,1.7327,4.6782,6.4465,5.8528,0.3683,3.5375,18.8556,91.5521,0.024
Pu,94,1.7491,4.7933,5.9841,5.6139,0.3683,3.5651,18.8727,100.8062,0.0246
Am,95,1.7519,4.8096,5.8155,5.4119,0.3654,3.5215,18.512,98.8221,0.0241
Cm,96,1.7284,4.7162,5.9338,5.2896,0.3577,3.3776,17.7168,86.4936,0.0217
Bk,97,1.7298,4.7198,5.7527,5.1576,0.3554,3.3269,17.3659,84.3294,0.0211
Cf,98,1.6401,4.3905,5.4504,5.4542,0.3332,2.983,14.6892,73.0723,0.0258
